"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"197","1A",19,"Sans Expérience",3,"Un smartphone",2,1,"> 10",10,"Souvent","Non","Quasiment tous","Oui",15,2,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"199","2A",21,"Entre 1 et 6 mois",5,"Un ordinateur",3,2,"< 10",10,"Souvent","Non","Quasiment tous","Oui",0,30,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"200","2A",21,"Sans Expérience",2,"Un smartphone",4,2,"< 3",5,"Rarement","Non","Rarement","Oui",100,1,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"201","2A",21,"Expérience > 6 mois",5,"Un smartphone",3,2,"> 10",10,"Rarement","Oui","Rarement","Oui",500,50,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"202","Enseignant",41,"Ça se compte en années",3,"Un ordinateur",3,2,"> 10",50,"Rarement","Oui","En grande partie","Oui",0,50,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"203","3A",24,"Expérience > 6 mois",6,"Un smartphone",2,2,"< 10",6,"Rarement","Oui","Rarement","Oui",1929,8,"Parfois","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"204","3A",24,"Entre 1 et 6 mois",6,"Un smartphone",3,1,"< 3",5,"Souvent","Oui","Rarement","Oui",636,0,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, souvent"
"205","3A",23,"Expérience > 6 mois",1,"Un ordinateur",3,3,"< 3",1,"Rarement","Oui","En grande partie","Oui",0,1,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Ah bonne idée"
"206","2A",22,"Entre 1 et 6 mois",4,"Un smartphone",2,2,"< 3",10,"Rarement","Oui","Rarement","Non",0,10,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"207","1A",19,"Entre 1 et 6 mois",4,"Un smartphone",3,2,"< 3",8,"Rarement","Oui","En grande partie","Oui",2,1,"Parfois","Parfois","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"208","3A",25,"Expérience > 6 mois",8,"Un ordinateur",4,3,"> 10",10,"Rarement","Oui","En grande partie","Oui",1000,10,"Parfois","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"209","2A",19,"Sans Expérience",6,"Un ordinateur",1,1,"< 3",5,"Souvent","Oui","Rarement","Oui",4,1,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"210","Autre",23,"Expérience > 6 mois",8,"Un smartphone",3,2,"> 10",10,"Souvent","Oui","Rarement","Oui",2500,1,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"212","3A",21,"Entre 1 et 6 mois",8,"Un smartphone",3,2,"< 10",4,"Souvent","Non","Rarement","Oui",0,10,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"213","2A",21,"Expérience > 6 mois",3,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Ah bonne idée"
"214","1A",19,"Sans Expérience",5,"Un ordinateur",3,2,"< 3",5,"Souvent","Non","Quasiment tous","Non",2,2,"Parfois","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"215","2A",21,"Sans Expérience",5,"Un smartphone",2,2,"< 10",6,"Souvent","Oui","En grande partie","Oui",70,10,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"216","1A",20,"Sans Expérience",6,"Un smartphone",2,2,"< 10",5,"Souvent","Oui","Quasiment tous","Oui",0,1,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"217","1A",19,"Sans Expérience",3,"Un smartphone",4,2,"< 10",15,"Rarement","Oui","Rarement","Oui",0,2,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"218","1A",20,"Sans Expérience",3,"Un smartphone",3,2,"< 10",10,"Rarement","Non","En grande partie","Oui",0,5,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"219","Césure",22,"Entre 1 et 6 mois",12,"Un ordinateur",4,2,"< 10",5,"Souvent","Oui","En grande partie","Oui",0,2,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"220","Autre",25,"Expérience > 6 mois",5,"Un smartphone",4,2,"> 30",7,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"221","1A",20,"Expérience > 6 mois",5,"Un ordinateur",5,3,"< 10",4,"Souvent","Oui","Rarement","Oui",20,2,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"222","2A",21,"Entre 1 et 6 mois",8,"Un smartphone",3,2,"< 10",10,"Souvent","Oui","Quasiment tous","Oui",0,5,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"223","1A",19,"Sans Expérience",3,"Un smartphone",5,2,"< 10",1,"Souvent","Oui","En grande partie","Oui",10,1,"Parfois","Non","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"225","1A",19,"Sans Expérience",5,"Un smartphone",2,2,"< 10",5,"Rarement","Oui","Rarement","Oui",0,3,"Oui","Parfois","Non","Très importante","Marquer tout en lu","Oui, parfois"
"226","1A",20,"Sans Expérience",3,"Un ordinateur",15,2,"< 3",3,"Jamais","Non","Rarement","Oui",0,0,"Oui","Parfois","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"227","1A",20,"Entre 1 et 6 mois",4,"Un ordinateur",7,2,"< 3",10,"Rarement","Oui","Rarement","Oui",0,2,"Oui","Oui","Non","Pas tellement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"228","1A",20,"Entre 1 et 6 mois",5,"Un ordinateur",3,2,"< 10",3,"Souvent","Non","En grande partie","Oui",4,4,"Oui","Oui","Non","Pas tellement importante","Marquer tout en lu","Oui, parfois"
"229","1A",20,"Sans Expérience",3,"Un smartphone",3,2,"< 10",6,"Souvent","Oui","En grande partie","Oui",50,5,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"230","3A",22,"Expérience > 6 mois",8,"Un ordinateur",4,3,"< 3",8,"Rarement","Oui","Rarement","Oui",50,2,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"231","Personnel Administratif",45,"Ça se compte en années",2,"Un ordinateur",2,1,"> 30",100,"Souvent","Non","En grande partie","Oui",20,100,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"232","1A",19,"Sans Expérience",4,"Un ordinateur",2,1,"< 3",20,"Souvent","Oui","Rarement","Oui",189,5,"Oui","Oui","Non","Très importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
